year,journal,title_length,cites
2007,Molecular Biology and Evolution,75,17958
2007,Nature Materials,20,11633
2007,Bioinformatics,35,8437
2007,Cell,83,5846
2007,Ca-A Cancer Journal for Clinicians,23,5744
2007,American Journal of Human Genetics,84,5651
2007,Nature,96,4704
2007,BMC Evolutionary Biology,55,4614
2007,Journal of Applied Crystallography,32,4203
2007,Science,68,4160
2007,Carbon,90,3846
2007,"Astrophys J, Supplement Series",95,3639
2007,New Eng J Med,67,2829
2007,New Eng J Med,53,2692
2007,Review of Scientific Instruments,76,2686
2007,New Eng J Med,70,2530
2007,Cell,69,2523
2007,Journal of Computer-Mediated Communication,58,2502
2007,Nature Materials,58,2484
2007,Molecular Biology and Evolution,51,2433
2007,New Eng J Med,97,2423
2007,Nature,64,2372
2007,Proceedings of the IEEE,58,2341
2007,Nature,104,2302
2007,Journal of Molecular Biology,61,2151
2007,Nature,63,2137
2007,IEEE Transactions on Information Theory,72,1973
2007,Nature,85,1929
2007,Journal of Chemical Thermodynamics,54,1914
2007,Journal of the American Medical Association,57,1896
2007,New Eng J Med,72,1892
2007,Applied and Environmental Microbiology,97,1875
2007,Nature,67,1856
2007,Nature Materials,92,1834
2007,Nature,42,1828
2007,Nature,78,1809
2007,Phys Rev Lett,51,1802
2007,New Eng J Med,71,1797
2007,Science,92,1734
2007,Annals of Oncology,65,1719
2007,Science,98,1699
2007,New Eng J Med,67,1687
2007,Nature Materials,45,1660
2007,Academy of Management Journal,56,1648
2007,New Eng J Med,80,1639
2007,Nucleic Acids Research,85,1637
2007,New Eng J Med,91,1628
2007,Nature,56,1624
2007,Science,114,1607
2007,Nucleic Acids Research,118,1601
2007,Molecular Cell,75,1572
2007,Journal of the American Medical Association,84,1559
2007,Nature,75,1559
2007,J Clin Oncol,186,1556
2007,Journal of Computer-Mediated Communication,107,1544
2007,Nature Cell Biology,103,1542
2007,Nature,78,1522
2007,Nature,73,1494
2007,Science,61,1482
2007,Cell,75,1469
2007,Science,50,1453
2007,Proceedings of the IEEE,55,1439
2007,Science,92,1432
2007,Nature,85,1428
2007,Annual Review of Physical Chemistry,60,1426
2007,Cancer Research,46,1422
2007,Critical Care,95,1420
2007,Nature Protocols,70,1408
2007,Science,100,1395
2007,Molecular Ecology,112,1383
2007,Science,55,1337
2007,Nature,77,1336
2007,Science,109,1327
2007,IEEE Transactions on Energy Conversion,72,1323
2007,Pediatrics,148,1295
2007,IEEE Signal Processing Magazine,19,1295
2007,Magnetic Resonance in Medicine,70,1294
2007,International Journal of Systematic and Evolutionary Microbiology,105,1281
2007,New Eng J Med,61,1276
2007,Chemistry of Materials,83,1264
2007,Nature Methods,113,1259
2007,Experimental Economics,58,1255
2007,Solid State Communications,112,1249
2007,Statistics and Computing,33,1246
2007,Nature,80,1244
2007,Science,62,1239
2007,New Eng J Med,67,1236
2007,Gut,104,1231
2007,New Eng J Med,72,1224
2007,Nature,52,1224
2007,Science,98,1215
2007,Science,49,1214
2007,Nature,61,1214
2007,Cell Stem Cell,107,1213
2007,IEEE Signal Processing Magazine,35,1213
2007,NeuroImage,49,1212
2007,Science,88,1209
2007,Science,63,1204
2007,Lancet,128,1202
2007,Multivariate Behavioral Research,77,1187
2007,Science,90,1187
2007,Nature,57,1186
2007,Journal of Bone and Joint Surgery - Series A,100,1181
2007,Decision Support Systems,69,1178
2007,Science,48,1167
2007,Journal of Hydrometeorology,134,1163
2007,Bulletin of the American Meteorological Society,72,1157
2007,Nature,85,1152
2007,New Eng J Med,72,1144
